model,ticker,scaler,sentiment,run,accuracy,f1_score,train_loss,val_loss,class_distribution,lag,pred_probs,technical_indicators,xgb_max_depth,xgb_min_child_weight,xgb_gamma,learning_rate,n_estimators,profit
XGBoost,MSFT,standard,False,10,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,11,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,12,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,13,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,14,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,15,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,16,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,17,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,18,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,19,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,20,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,21,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,22,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
XGBoost,MSFT,standard,False,23,0.46511627906976744,0.3783783783783784,,,"{np.int64(0): np.int64(20), np.int64(1): np.int64(23)}",10,,True,5,3,0.2,0.05,150,-170.04527282714662
